Combo Ingredients,FDA Combo Products,HSA Combo Products,FDA Combo Count,HSA Combo Count,Combo/Formulation Availability,Other Country Component Coverage,Combo/Formulation Reason
amino acids + glucose + magnesium chloride + potassium phosphate + sodium acetate + sodium chloride,TRAVASOL 2.75% SULFITE FREE W/ ELECTROLYTES IN DEXTROSE 10% IN PLASTIC CONTAINER | TRAVASOL 2.75% SULFITE FREE W/ ELECTROLYTES IN DEXTROSE 15% IN PLASTIC CONTAINER | TRAVASOL 2.75% SULFITE FREE W/ ELECTROLYTES IN DEXTROSE 20% IN PLASTIC CONTAINER | TRAVASOL 2.75% SULFITE FREE W/ ELECTROLYTES IN DEXTROSE 25% IN PLASTIC CONTAINER | TRAVASOL 2.75% SULFITE FREE W/ ELECTROLYTES IN DEXTROSE 5% IN PLASTIC CONTAINER | TRAVASOL 4.25% SULFITE FREE W/ ELECTROLYTES IN DEXTROSE 10% IN PLASTIC CONTAINER | TRAVASOL 4.25% SULFITE FREE W/ ELECTROLYTES IN DEXTROSE 15% IN PLASTIC CONTAINER | TRAVASOL 4.25% SULFITE FREE W/ ELECTROLYTES IN DEXTROSE 20% IN PLASTIC CONTAINER | TRAVASOL 4.25% SULFITE FREE W/ ELECTROLYTES IN DEXTROSE 25% IN PLASTIC CONTAINER | TRAVASOL 4.25% SULFITE FREE W/ ELECTROLYTES IN DEXTROSE 5% IN PLASTIC CONTAINER,,10,0,FDA_COMBO_ONLY,missing components in HSA: amino acids,FDA has exact combo; HSA exact combo absent; missing components in HSA: amino acids
amino acids + magnesium acetate + phosphoric acid + potassium acetate + potassium chloride + sodium acetate,FREAMINE III 8.5% W/ ELECTROLYTES,,1,0,FDA_COMBO_ONLY,"missing components in HSA: amino acids, phosphoric acid","FDA has exact combo; HSA exact combo absent; missing components in HSA: amino acids, phosphoric acid"
amino acids + magnesium acetate + phosphoric acid + potassium acetate + sodium chloride,AMINOSYN 3.5% M | AMINOSYN 3.5% M IN PLASTIC CONTAINER,,2,0,FDA_COMBO_ONLY,"missing components in HSA: amino acids, phosphoric acid","FDA has exact combo; HSA exact combo absent; missing components in HSA: amino acids, phosphoric acid"
amino acids + magnesium acetate + phosphoric acid + potassium chloride + sodium acetate + sodium chloride,FREAMINE III 3% W/ ELECTROLYTES,,1,0,FDA_COMBO_ONLY,"missing components in HSA: amino acids, phosphoric acid","FDA has exact combo; HSA exact combo absent; missing components in HSA: amino acids, phosphoric acid"
amino acids + magnesium acetate + potassium acetate + sodium chloride + sodium phosphate,AMINOSYN II 3.5% M IN PLASTIC CONTAINER,,1,0,FDA_COMBO_ONLY,missing components in HSA: amino acids,FDA has exact combo; HSA exact combo absent; missing components in HSA: amino acids
amino acids + magnesium chloride + potassium acetate + potassium chloride + sodium acetate,VEINAMINE 8%,,1,0,FDA_COMBO_ONLY,missing components in HSA: amino acids,FDA has exact combo; HSA exact combo absent; missing components in HSA: amino acids
amino acids + magnesium chloride + potassium chloride + potassium phosphate + sodium chloride,AMINOSYN II 10% W/ ELECTROLYTES | AMINOSYN II 7% W/ ELECTROLYTES | AMINOSYN II 8.5% W/ ELECTROLYTES,,3,0,FDA_COMBO_ONLY,missing components in HSA: amino acids,FDA has exact combo; HSA exact combo absent; missing components in HSA: amino acids
amino acids + magnesium chloride + potassium chloride + sodium chloride + sodium phosphate,AMINOSYN 8.5% W/ELECTROLYTES | AMINOSYN II 3.5% M | AMINOSYN II 8.5% W/ELECTROLYTES,,3,0,FDA_COMBO_ONLY,missing components in HSA: amino acids,FDA has exact combo; HSA exact combo absent; missing components in HSA: amino acids
amino acids + magnesium chloride + potassium phosphate + sodium acetate + sodium chloride,TRAVASOL 3.5% SULFITE FREE W/ ELECTROLYTES IN PLASTIC CONTAINER | TRAVASOL 3.5% W/ ELECTROLYTES | TRAVASOL 5.5% SULFITE FREE W/ ELECTROLYTES IN PLASTIC CONTAINER | TRAVASOL 5.5% W/ ELECTROLYTES | TRAVASOL 8.5% SULFITE FREE W/ ELECTROLYTES IN PLASTIC CONTAINER | TRAVASOL 8.5% W/ ELECTROLYTES,,6,0,FDA_COMBO_ONLY,missing components in HSA: amino acids,FDA has exact combo; HSA exact combo absent; missing components in HSA: amino acids
amino acids + magnesium chloride + potassium phosphate + sodium chloride,AMINOSYN 7% W/ ELECTROLYTES | AMINOSYN 8.5% W/ ELECTROLYTES,,2,0,FDA_COMBO_ONLY,missing components in HSA: amino acids,FDA has exact combo; HSA exact combo absent; missing components in HSA: amino acids
amitriptyline + chlordiazepoxide,LIMBITROL | LIMBITROL DS,,2,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
amitriptyline + perphenazine,ETRAFON 2-10 | ETRAFON 2-25 | ETRAFON-A | ETRAFON-FORTE | TRIAVIL 2-10 | TRIAVIL 2-25 | TRIAVIL 4-10 | TRIAVIL 4-25 | TRIAVIL 4-50,,9,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
amivantamab + hyaluronidase,RYBREVANT FASPRO,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
amlodipine + benazepril,AMLODIPINE MALEATE; BENAZEPRIL HYDROCHLORIDE | LOTREL,,2,0,FDA_COMBO_ONLY,missing components in HSA: benazepril,FDA has exact combo; HSA exact combo absent; missing components in HSA: benazepril
amlodipine + celecoxib,CONSENSI,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
amlodipine + hydrochlorothiazide + olmesartan medoxomil,TRIBENZOR,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
amlodipine + indapamide + telmisartan,WIDAPLIK,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
amoxicillin + clarithromycin + lansoprazole,PREVPAC (COPACKAGED),,1,0,FDA_COMBO_ONLY,missing components in HSA: lansoprazole,FDA has exact combo; HSA exact combo absent; missing components in HSA: lansoprazole
amoxicillin + clarithromycin + omeprazole,OMECLAMOX-PAK,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
amoxicillin + clarithromycin + vonoprazan,VOQUEZNA TRIPLE PAK,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
amoxicillin + omeprazole + rifabutin,TALICIA,,1,0,FDA_COMBO_ONLY,missing components in HSA: rifabutin,FDA has exact combo; HSA exact combo absent; missing components in HSA: rifabutin
amoxicillin + vonoprazan,VOQUEZNA DUAL PAK,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
ampicillin + probenecid,POLYCILLIN-PRB | PRINCIPEN W/ PROBENECID,,2,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
antazoline + naphazoline,VASOCON-A,,1,0,FDA_COMBO_ONLY,missing components in HSA: antazoline,FDA has exact combo; HSA exact combo absent; missing components in HSA: antazoline
artemether + lumefantrine,COARTEM,,1,0,FDA_COMBO_ONLY,"missing components in HSA: artemether, lumefantrine","FDA has exact combo; HSA exact combo absent; missing components in HSA: artemether, lumefantrine"
ascorbic acid + biotin + colecalciferol + cyanocobalamin + dexpanthenol + folic acid + nicotinamide + phytomenadione + pyridoxine + retinol + riboflavin + thiamine + tocopherol,INFUVITE ADULT | INFUVITE PEDIATRIC | INFUVITE PEDIATRIC (PHARMACY BULK PACKAGE),,3,0,FDA_COMBO_ONLY,missing components in HSA: dexpanthenol,FDA has exact combo; HSA exact combo absent; missing components in HSA: dexpanthenol
ascorbic acid + biotin + cyanocobalamin + dexpanthenol + ergocalciferol + folic acid + nicotinamide + phytomenadione + pyridoxine + retinol + riboflavin + thiamine + tocopherol,M.V.I. ADULT | M.V.I. ADULT (PHARMACY BULK PACKAGE) | M.V.I. PEDIATRIC,,3,0,FDA_COMBO_ONLY,missing components in HSA: dexpanthenol,FDA has exact combo; HSA exact combo absent; missing components in HSA: dexpanthenol
ascorbic acid + biotin + cyanocobalamin + dexpanthenol + ergocalciferol + folic acid + nicotinamide + pyridoxine + retinol + riboflavin + thiamine + tocopherol,BEROCCA PN | M.V.C. 9+3 | M.V.I.-12 ADULT | M.V.I.-12 LYOPHILIZED | MVC PLUS,,5,0,FDA_COMBO_ONLY,missing components in HSA: dexpanthenol,FDA has exact combo; HSA exact combo absent; missing components in HSA: dexpanthenol
ascorbic acid + biotin + cyanocobalamin + ergocalciferol + folic acid + nicotinamide + pantothenic acid + phytomenadione + pyridoxine + retinol + riboflavin + thiamine + tocopherol,VITAPED,,1,0,FDA_COMBO_ONLY,"all components present in HSA, but exact combo absent","FDA has exact combo; HSA exact combo absent; all components present in HSA, but exact combo absent"
ascorbic acid + macrogol + potassium chloride + sodium chloride + sodium sulfate,MOVIPREP | PLENVU,,2,0,FDA_COMBO_ONLY,"all components present in HSA, but exact combo absent","FDA has exact combo; HSA exact combo absent; all components present in HSA, but exact combo absent"
atazanavir + cobicistat,EVOTAZ,,1,0,FDA_COMBO_ONLY,missing components in HSA: cobicistat,FDA has exact combo; HSA exact combo absent; missing components in HSA: cobicistat
atazanavir + lamivudine + ritonavir + zidovudine,ATAZANAVIR SULFATE;RITONAVIR;LAMIVUDINE;ZIDOVUDINE,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
atazanavir + ritonavir,ATAZANAVIR SULFATE AND RITONAVIR | ATAZANAVIR SULFATE; RITONAVIR,,2,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
